date, region, infected, recovered, timestamp_requested
2021-08-01 04:21:50,Tomsk Oblast,37183,33458,08-03-2021 09.23.24
2021-08-01 04:21:50,Tula Oblast,47408,41111,08-03-2021 09.23.24
2021-08-01 04:21:50,Tver Oblast,53642,45610,08-03-2021 09.23.24
2021-08-01 04:21:50,Tyumen Oblast,46560,43252,08-03-2021 09.23.24
2021-08-01 04:21:50,Tyva Republic,21336,17755,08-03-2021 09.23.24
2021-08-01 04:21:50,Udmurt Republic,39894,33591,08-03-2021 09.23.24
2021-08-01 04:21:50,Ulyanovsk Oblast,65629,61249,08-03-2021 09.23.24
2021-08-01 04:21:50,Vladimir Oblast,43229,40170,08-03-2021 09.23.24
2021-08-01 04:21:50,Volgograd Oblast,71248,63478,08-03-2021 09.23.24
2021-08-01 04:21:50,Vologda Oblast,54754,48858,08-03-2021 09.23.24
2021-08-01 04:21:50,Voronezh Oblast,104017,96189,08-03-2021 09.23.24
2021-08-01 04:21:50,Yamalo-Nenets Autonomous Okrug,43625,41468,08-03-2021 09.23.24
2021-08-01 04:21:50,Yaroslavl Oblast,49736,43639,08-03-2021 09.23.24
2021-08-01 04:21:50,Zabaykalsky Krai,56307,50484,08-03-2021 09.23.24
2021-07-31 04:21:35,Adygea Republic,16238,15087,08-03-2021 09.23.24
2021-07-31 04:21:35,Altai Krai,61810,48936,08-03-2021 09.23.24
2021-07-31 04:21:35,Altai Republic,19379,17948,08-03-2021 09.23.24
2021-07-31 04:21:35,Amur Oblast,27571,24727,08-03-2021 09.23.24
2021-07-31 04:21:35,Arkhangelsk Oblast,73717,69242,08-03-2021 09.23.24
2021-07-31 04:21:35,Astrakhan Oblast,43097,36437,08-03-2021 09.23.24
2021-07-31 04:21:35,Bashkortostan Republic,47995,44317,08-03-2021 09.23.24
2021-07-31 04:21:35,Belgorod Oblast,44448,41393,08-03-2021 09.23.24
2021-07-31 04:21:35,Bryansk Oblast,53846,48896,08-03-2021 09.23.24
2021-07-31 04:21:35,Buryatia Republic,52173,46985,08-03-2021 09.23.24
2021-07-31 04:21:35,Chechen Republic,15834,12966,08-03-2021 09.23.24
2021-07-31 04:21:35,Chelyabinsk Oblast,73166,65844,08-03-2021 09.23.24
2021-07-31 04:21:35,Chukotka Autonomous Okrug,1142,846,08-03-2021 09.23.24
2021-07-31 04:21:35,Chuvashia Republic,29216,26616,08-03-2021 09.23.24
2021-07-31 04:21:35,Dagestan Republic,41512,37036,08-03-2021 09.23.24
2021-07-31 04:21:35,Ingushetia Republic,17578,16255,08-03-2021 09.23.24
2021-07-31 04:21:35,Irkutsk Oblast,85031,72578,08-03-2021 09.23.24
2021-07-31 04:21:35,Ivanovo Oblast,41276,38093,08-03-2021 09.23.24
2021-07-31 04:21:35,Jewish Autonomous Okrug,5695,4467,08-03-2021 09.23.24
2021-07-31 04:21:35,Kabardino-Balkarian Republic,26917,24800,08-03-2021 09.23.24
2021-07-31 04:21:35,Kaliningrad Oblast,42854,39818,08-03-2021 09.23.24
2021-07-31 04:21:35,Kalmykia Republic,24702,21703,08-03-2021 09.23.24
2021-07-31 04:21:35,Kaluga Oblast,41010,38380,08-03-2021 09.23.24
2021-07-31 04:21:35,Kamchatka Krai,16725,14483,08-03-2021 09.23.24
2021-07-31 04:21:35,Karachay-Cherkess Republic,22326,20672,08-03-2021 09.23.24
2021-07-31 04:21:35,Karelia Republic,55662,52184,08-03-2021 09.23.24
2021-07-31 04:21:35,Kemerovo Oblast,45668,42976,08-03-2021 09.23.24
2021-07-31 04:21:35,Khabarovsk Krai,65136,58622,08-03-2021 09.23.24
